symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
ABM,ABM Industries Incorporated Common Stock,$45.54,0.18,0.397%,239053,3012290206.00,United States,,Diversified Commercial Services,Finance,/market-activity/stocks/abm
ABNB,Airbnb Inc. Class A Common Stock,$125.79,1.07,0.858%,2414375,81421808069.00,United States,2020,Hotels/Resorts,Consumer Discretionary,/market-activity/stocks/abnb
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$6.30,0.18,2.941%,260589,364571626.00,United States,2021,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abos
ABR,Arbor Realty Trust Common Stock,$15.55,0.11,0.712%,1837167,2900105711.00,United States,2004,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/abr
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,$18.68,0.00,0.00%,152,,United States,,,,/market-activity/stocks/abr^d
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,$18.50,0.00,0.00%,569,,United States,,,,/market-activity/stocks/abr^e
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,$20.27,0.29,1.451%,15525,,United States,,,,/market-activity/stocks/abr^f
ABSI,Absci Corporation Common Stock,$1.68,0.12,7.692%,301834,155754403.00,United States,2021,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/absi
ABT,Abbott Laboratories Common Stock,$104.21,0.46,0.443%,3000755,180841655096.00,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abt
ABUS,Arbutus Biopharma Corporation Common Stock,$2.03,-0.02,-0.976%,304643,340140022.00,Canada,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abus
ABVC,ABVC BioPharma Inc. Common Stock,$1.71,0.02,1.183%,20709,6756873.00,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abvc
AC,Associated Capital Group Inc. Common Stock,$36.60,-0.19,-0.516%,19665,801051939.00,United States,2015,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/ac
ACA,Arcosa Inc. Common Stock ,$76.51,1.52,2.027%,122004,3730761722.00,United States,2018,Metal Fabrications,Industrials,/market-activity/stocks/aca
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,$10.51,0.00,0.00%,4520,0.00,United States,2022,Blank Checks,Finance,/market-activity/stocks/acab
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,$0.0468,0.0083,21.558%,950,0.00,United States,2022,Blank Checks,Finance,/market-activity/stocks/acabw
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,$10.95,0.05,0.459%,204,0.00,United States,2022,Blank Checks,Finance,/market-activity/stocks/acac
